,crop,plot,trt,date_sensed,value,min,max,mean,count,crop varieties,planting density,value planting density,sowing date,days after sowing
108,Wheat,7,N-Rich strip,2018-01-12,ndvi,0.8175046443939209,0.8774684071540833,0.8514042416134396,74,CIRNO C2008,190,kg ha-1,2017-11-29,44
109,Wheat,7,Farmer Practice E,2018-01-12,ndvi,0.7843666076660156,0.8862133026123047,0.8542549441213565,1115,CIRNO C2008,190,kg ha-1,2017-11-29,44
110,Wheat,7,Farmer Practice W,2018-01-12,ndvi,0.8037755489349365,0.8729838132858276,0.8410101331656795,459,CIRNO C2008,190,kg ha-1,2017-11-29,44
111,Wheat,7,N-Rich strip,2018-01-22,ndvi,0.8912174105644226,0.9210168123245239,0.9059788471943623,74,CIRNO C2008,190,kg ha-1,2017-11-29,54
112,Wheat,7,Farmer Practice E,2018-01-22,ndvi,0.7622443437576294,0.9325742125511169,0.902541252102018,1115,CIRNO C2008,190,kg ha-1,2017-11-29,54
113,Wheat,7,Farmer Practice W,2018-01-22,ndvi,0.8728059530258179,0.9191176295280457,0.9017029473464733,459,CIRNO C2008,190,kg ha-1,2017-11-29,54
114,Wheat,7,N-Rich strip,2018-02-11,ndvi,0.9126437306404114,0.937679648399353,0.9267586372994088,74,CIRNO C2008,190,kg ha-1,2017-11-29,74
115,Wheat,7,Farmer Practice E,2018-02-11,ndvi,0.7063398361206055,0.9434128999710083,0.9263793397911996,1115,CIRNO C2008,190,kg ha-1,2017-11-29,74
116,Wheat,7,Farmer Practice W,2018-02-11,ndvi,0.876293420791626,0.9392848610877991,0.9243453281377655,459,CIRNO C2008,190,kg ha-1,2017-11-29,74
117,Wheat,7,N-Rich strip,2018-02-21,ndvi,0.9126437306404114,0.937679648399353,0.9267586372994088,74,CIRNO C2008,190,kg ha-1,2017-11-29,84
118,Wheat,7,Farmer Practice E,2018-02-21,ndvi,0.7063398361206055,0.9434128999710083,0.9263793397911996,1115,CIRNO C2008,190,kg ha-1,2017-11-29,84
119,Wheat,7,Farmer Practice W,2018-02-21,ndvi,0.876293420791626,0.9392848610877991,0.9243453281377655,459,CIRNO C2008,190,kg ha-1,2017-11-29,84
120,Wheat,8,N-Rich strip,2018-01-02,ndvi,0.13725490868091583,0.2274210900068283,0.17756888826014633,59,CIRNO C2008,180,kg ha-1,2017-12-17,16
121,Wheat,8,Farmer Practice E,2018-01-02,ndvi,0.13322456181049347,0.3316487669944763,0.19251131603055008,759,CIRNO C2008,180,kg ha-1,2017-12-17,16
122,Wheat,8,Farmer Practice W,2018-01-02,ndvi,0.13831479847431183,0.25481563806533813,0.18339964020348107,746,CIRNO C2008,180,kg ha-1,2017-12-17,16
123,Wheat,8,N-Rich strip,2018-01-12,ndvi,0.2899349331855774,0.5503875613212585,0.4567154059975834,59,CIRNO C2008,180,kg ha-1,2017-12-17,26
124,Wheat,8,Farmer Practice E,2018-01-12,ndvi,0.30979612469673157,0.7023038864135742,0.5098236847929019,759,CIRNO C2008,180,kg ha-1,2017-12-17,26
125,Wheat,8,Farmer Practice W,2018-01-12,ndvi,0.33598408102989197,0.6423280239105225,0.4818479318081853,746,CIRNO C2008,180,kg ha-1,2017-12-17,26
126,Wheat,8,N-Rich strip,2018-01-22,ndvi,0.5041322112083435,0.7811357378959656,0.7093297667422537,59,CIRNO C2008,180,kg ha-1,2017-12-17,36
127,Wheat,8,Farmer Practice E,2018-01-22,ndvi,0.5478556156158447,0.8867272138595581,0.7693380122128212,759,CIRNO C2008,180,kg ha-1,2017-12-17,36
128,Wheat,8,Farmer Practice W,2018-01-22,ndvi,0.5988483428955078,0.8502950668334961,0.7379340205051944,746,CIRNO C2008,180,kg ha-1,2017-12-17,36
129,Wheat,8,N-Rich strip,2018-02-11,ndvi,0.6800000071525574,0.8852680325508118,0.8504279185149629,59,CIRNO C2008,180,kg ha-1,2017-12-17,56
130,Wheat,8,Farmer Practice E,2018-02-11,ndvi,0.7062937021255493,0.9254426956176758,0.8848318067306901,759,CIRNO C2008,180,kg ha-1,2017-12-17,56
